region,year,population,total_area_km2
Africa,1975,129200600.93776017,19823
Africa,1990,237077590.54828006,33777
Africa,2000,338501512.4678702,46955
Africa,2015,548676378.8478098,67843
Asia,1975,902332466.1734796,126837
Asia,1990,1377651749.5308533,197961
Asia,2000,1686227983.1637511,256121
Asia,2015,2079588561.7158308,335457
Central America,1975,40608826.36555002,7416
Central America,1990,58017158.271660015,10400
Central America,2000,71192291.54858002,12654
Central America,2015,90595440.15453002,15968
Europe,1975,247222383.23158014,60615
Europe,1990,269811276.7810498,67976
Europe,2000,276407620.0133101,73267
Europe,2015,287696699.6274603,79340
Northern America,1975,109669188.49276006,47669
Northern America,1990,138372051.26016998,65812
Northern America,2000,163675918.81958002,87703
Northern America,2015,192781940.99615002,105402
Oceania,1975,7826324.004589998,4397
Oceania,1990,10504753.338969998,5567
Oceania,2000,12946748.42856,6289
Oceania,2015,17521215.689929992,7489
South America,1975,101492152.13455003,20221
South America,1990,156056364.77202,27695
South America,2000,191901700.67316017,33115
South America,2015,239944076.96207014,38934
